Happy,Angry,Disgusted,HandRaised,Sleep,HeadGaze,Engagement
0.15121656934792416,0.5220738734129643,0.32670955723911166,1,0,2,4
0.429765950699301,0.13121247728069557,0.43902157202000336,1,0,2,4
0.206570875320509,0.5670581489217158,0.2263709757577752,1,0,2,4
0.07708634631418057,0.7407250907197507,0.18218856296606886,1,0,2,4
0.581096807438872,0.24936926909754453,0.16953392346358345,1,0,2,5
0.1686112346734925,0.5157176844873201,0.3156710808391875,1,0,2,4
0.148912599189533,0.2677595858856587,0.5833278149248083,1,0,2,4
0.18733341067219894,0.683836500449793,0.1288300888780081,1,0,2,5
0.604827159595198,0.10790855861045437,0.2872642817943476,1,0,2,4
0.3400282150891622,0.14754140878534752,0.5124303761254903,1,0,2,4
0.13421039819594752,0.7501060564181232,0.11568354538592929,1,0,2,4
0.37662956111085416,0.44018199570049354,0.18318844318865227,1,0,2,5
0.08991678946240916,0.11409403402403884,0.795989176513552,1,0,2,4
0.06526801875839527,0.4054337182322294,0.5292982630093755,1,0,2,5
0.07298490006176071,0.3796962213271524,0.5473188786110867,1,0,2,5
0.028014177884902267,0.23689055075956067,0.7350952713555371,1,0,2,4
0.2608893775999018,0.25873230739218833,0.48037831500791,1,0,2,5
0.2715584644187034,0.4502623093477343,0.27817922623356217,1,0,2,4
0.49890082546847453,0.19816907291821348,0.30293010161331196,1,0,2,4
0.9285572689701493,0.016829459804711296,0.05461327122513954,1,0,2,4
0.9089883677203148,0.0161409345208337,0.07487069775885144,1,0,2,4
0.13563636519215552,0.16542506188630143,0.6989385729215432,1,0,2,5
0.27216039506763107,0.44332411779194875,0.28451548714042024,1,0,2,4
0.41730826134700527,0.23546332372360648,0.3472284149293883,1,0,2,5
0.08664252857794247,0.23337359055649165,0.6799838808655658,1,0,2,5
0.09777660188914769,0.7549862988980792,0.14723709921277311,1,0,2,5
0.14294830994583804,0.6768928047483378,0.1801588853058242,1,0,2,4
0.12331238553218594,0.5049720308037644,0.37171558366404955,1,0,2,5
0.6826162554165366,0.16295741490730795,0.15442632967615535,1,0,2,4
0.6244440526366788,0.2898866806500212,0.08566926671330005,1,0,2,5
0.15288913131423748,0.491694307798668,0.3554165608870944,1,0,2,5
0.15385485034241,0.5304445168186328,0.31570063283895705,1,0,2,4
0.17111028829280883,0.3297055301003372,0.49918418160685385,1,0,2,5
0.45505741689209267,0.31276378702002366,0.23217879608788358,1,0,2,4
0.19778693218965926,0.25591154902308655,0.5463015187872542,1,0,2,4
0.4338117278473321,0.22034222188339472,0.34584605026927306,1,0,2,5
0.6453371618505795,0.2660102680297996,0.0886525701196209,1,0,2,4
0.17439574495144564,0.1750178978938198,0.6505863571547346,1,0,2,4
0.5242243672239917,0.42842038119491627,0.04735525158109207,1,0,2,5
0.8073172883008143,0.072895724152713,0.11978698754647275,1,0,2,4
